campaign_id,campaign_name,campaign_type,channel,target_countries,start_date,end_date,budget_eur,spend_eur,target_impressions,actual_impressions,target_clicks,actual_clicks,target_conversions,actual_conversions,campaign_message,discount_percentage,promotional_code,created_at,updated_at
CAMP_000001,EuroStyle Brand Campaign 2020,brand_awareness,in_store,"['LU', 'BE', 'DE', 'NL', 'FR']",2020-01-29,2020-02-08,37388.54,38611.77,7722353,7542144,772235,762756,34750,26430,Discover amazing brand awareness deals!,0.0,,2025-10-14 13:00:07.916729,2025-10-14 13:00:07.916730
CAMP_000002,Flash Sale 04/01,flash_sale,google_ads,"['LU', 'BE']",2020-01-04,2020-01-06,30134.85,26367.24,2197269,2308059,76904,71124,2153,2212,Quick! Don't miss out on these incredible deals!,55.9,FRESH18,2025-10-14 13:00:07.916753,2025-10-14 13:00:07.916753
CAMP_000003,Come Back Campaign January,retention,outdoor,"['LU', 'FR', 'DE', 'BE', 'NL']",2020-01-01,2020-01-19,128428.95,124948.92,4164963,4323855,4164,4067,20,19,Discover amazing retention deals!,0.0,,2025-10-14 13:00:07.916772,2025-10-14 13:00:07.916772
CAMP_000004,Loyalty Rewards January,loyalty_program,print,"['DE', 'FR', 'NL']",2020-01-08,2020-01-21,65015.88,57485.02,2874251,2972708,14371,12055,143,158,Discover amazing loyalty program deals!,16.1,NEW47,2025-10-14 13:00:07.916790,2025-10-14 13:00:07.916790
CAMP_000005,End of Season Clearance,clearance,influencer,"['LU', 'NL', 'DE', 'BE', 'FR']",2020-02-09,2020-03-08,59630.06,58115.9,3874393,4237906,96859,85178,2130,1644,Last chance to grab these styles at amazing prices!,44.1,STYLE61,2025-10-14 13:00:07.916810,2025-10-14 13:00:07.916811
CAMP_000006,Loyalty Rewards February,loyalty_program,google_ads,"['NL', 'DE', 'BE', 'FR', 'LU']",2020-02-07,2020-02-14,102394.56,99752.96,8312746,7775784,290946,278235,8146,8651,Discover amazing loyalty program deals!,22.7,STYLE31,2025-10-14 13:00:07.916829,2025-10-14 13:00:07.916829
CAMP_000007,Flash Sale 21/02,flash_sale,print,"['BE', 'DE']",2020-02-21,2020-02-22,25705.46,23614.08,1180704,1269489,5903,5057,59,62,"Flash sale alert - limited time, unlimited style!",58.3,SAVE64,2025-10-14 13:00:07.916845,2025-10-14 13:00:07.916845
CAMP_000008,EuroStyle Brand Campaign 2020,brand_awareness,in_store,"['DE', 'NL', 'FR', 'BE', 'LU']",2020-02-04,2020-02-20,24075.27,22520.9,4504180,4098996,450418,380768,20268,25748,Discover amazing brand awareness deals!,0.0,,2025-10-14 13:00:07.916862,2025-10-14 13:00:07.916862
CAMP_000009,End of Season Clearance,clearance,google_ads,"['BE', 'FR']",2020-02-25,2020-03-25,33838.46,36481.81,3040150,2829294,106405,99767,2979,3083,End of season clearance - up to 70% off!,57.2,SAVE70,2025-10-14 13:00:07.916878,2025-10-14 13:00:07.916879
CAMP_000010,Loyalty Rewards March,loyalty_program,radio,['LU'],2020-03-23,2020-04-06,21816.17,20305.96,1128108,1043598,3384,2819,40,49,Discover amazing loyalty program deals!,16.3,NEW99,2025-10-14 13:00:07.916896,2025-10-14 13:00:07.916897
CAMP_000011,Welcome Campaign April,customer_acquisition,outdoor,['NL'],2020-04-06,2020-04-15,20945.06,18838.91,627963,650054,627,602,3,3,Discover amazing customer acquisition deals!,0.0,,2025-10-14 13:00:07.916913,2025-10-14 13:00:07.916913
CAMP_000012,Flash Sale 26/04,flash_sale,social_media,['FR'],2020-04-26,2020-04-28,5361.64,5782.98,680350,627280,10205,8425,255,267,24 hours only - up to 50% off everything!,46.5,NEW52,2025-10-14 13:00:07.916929,2025-10-14 13:00:07.916930
