review_id,product_id,customer_id,country_code,rating,review_title,review_text,review_date,verified_purchase,helpful_votes,total_votes,size_purchased,color_purchased,fit_rating,quality_rating,style_rating,review_status,moderated_by,created_at,updated_at
REV_2024_000001,PROD_000177,CUST_FR_0001121,BE,3,Runs small,The material feels cheap and the sizing is off. Disappointed.,2024-05-12,True,40,29,32,,runs_small,2,1,approved,,2025-10-14 12:47:15,2025-10-14 12:47:15
REV_2024_000002,PROD_000213,CUST_BE_0001675,FR,1,Disappointed with quality,Good value for money. The style is trendy and comfortable to wear.,2024-06-22,True,24,16,,,,3,4,approved,,2025-10-14 12:47:15,2025-10-14 12:47:15
REV_2024_000003,PROD_000246,CUST_DE_0000034,BE,1,Excellent value,Beautiful design but arrived with some loose threads. Still keeping it.,2024-07-24,True,33,33,,Blue,runs_large,3,1,rejected,,2025-10-14 12:47:15,2025-10-14 12:47:15
REV_2024_000004,PROD_000075,CUST_FR_0000952,LU,5,Good for the price,Perfect fit and beautiful color. Highly recommend this product.,2024-02-20,True,43,11,36,Brown,true_to_size,2,5,approved,,2025-10-14 12:47:15,2025-10-14 12:47:15
REV_2024_000005,PROD_000243,CUST_FR_0000960,BE,3,Great quality,Perfect fit and beautiful color. Highly recommend this product.,2024-10-01,True,40,55,34,Pink,true_to_size,,2,approved,,2025-10-14 12:47:15,2025-10-14 12:47:15
REV_2024_000006,PROD_000224,CUST_FR_0000986,LU,5,Runs small,This item exceeded my expectations. Great quality and fast shipping!,2024-10-23,True,24,6,,Pink,runs_small,,5,approved,,2025-10-14 12:47:15,2025-10-14 12:47:15
REV_2024_000007,PROD_000193,CUST_FR_0000857,DE,5,Disappointed with quality,Good value for money. The style is trendy and comfortable to wear.,2024-07-19,True,27,24,,Blue,true_to_size,,4,approved,,2025-10-14 12:47:15,2025-10-14 12:47:15
REV_2024_000008,PROD_000166,CUST_FR_0001033,FR,4,Runs small,This item exceeded my expectations. Great quality and fast shipping!,2024-05-30,True,11,22,,Green,,5,5,approved,,2025-10-14 12:47:15,2025-10-14 12:47:15
REV_2024_000009,PROD_000201,CUST_DE_0000340,BE,3,Will buy again,This item exceeded my expectations. Great quality and fast shipping!,2024-03-26,True,45,34,34,,runs_small,,,approved,,2025-10-14 12:47:15,2025-10-14 12:47:15
REV_2024_000010,PROD_000173,CUST_DE_0000061,NL,4,Amazing material,Beautiful design but arrived with some loose threads. Still keeping it.,2024-02-07,True,31,41,32,Navy,true_to_size,,4,pending,staff_6,2025-10-14 12:47:15,2025-10-14 12:47:15
REV_2024_000011,PROD_000210,CUST_FR_0000751,BE,3,Poor stitching,Good value for money. The style is trendy and comfortable to wear.,2024-09-15,True,4,32,L,Green,runs_small,,3,approved,,2025-10-14 12:47:15,2025-10-14 12:47:15
REV_2024_000012,PROD_000198,CUST_DE_0000436,NL,4,Disappointed with quality,Good value for money. The style is trendy and comfortable to wear.,2024-08-06,True,39,59,,,,2,3,approved,,2025-10-14 12:47:15,2025-10-14 12:47:15
REV_2024_000013,PROD_000252,CUST_BE_0001741,NL,5,Beautiful design,Beautiful design but arrived with some loose threads. Still keeping it.,2024-01-26,True,34,36,36,Navy,runs_large,3,4,approved,,2025-10-14 12:47:15,2025-10-14 12:47:15
REV_2024_000014,PROD_000115,CUST_BE_0001895,FR,3,Beautiful design,Beautiful design but arrived with some loose threads. Still keeping it.,2024-09-18,False,47,13,42,Pink,runs_small,4,2,approved,,2025-10-14 12:47:15,2025-10-14 12:47:15
REV_2024_000015,PROD_000203,CUST_DE_0000666,LU,5,Perfect fit,Beautiful design but arrived with some loose threads. Still keeping it.,2024-03-08,False,15,59,36,Black,,1,3,approved,staff_2,2025-10-14 12:47:15,2025-10-14 12:47:15
REV_2024_000016,PROD_000232,CUST_FR_0001026,FR,5,Great quality,Perfect fit and beautiful color. Highly recommend this product.,2024-10-11,True,43,45,,,true_to_size,4,,approved,staff_5,2025-10-14 12:47:15,2025-10-14 12:47:15
REV_2024_000017,PROD_000098,CUST_FR_0001161,DE,4,Disappointed with quality,Love the sustainable materials used. Great to support eco-friendly fashion.,2024-06-30,False,33,53,,Black,,1,,approved,,2025-10-14 12:47:15,2025-10-14 12:47:15
